trade_date,etf_code,open_price,high_price,low_price,close_price,volume,daily_return,ma5,ma20,volatility,target
2019-01-30,0050.TW,15.084142083802668,15.1145131486234,15.0233999541612,15.053771018981934,21020916,-0.0020133568795035472,15.106411743164063,14.823022413253785,0.009745235435425431,0.010759882959942457
2019-02-11,0050.TW,15.25624155341276,15.316983678390375,15.155005708274338,15.215747833251951,26459600,0.010759882959942457,15.150956344604491,14.863570356369019,0.009566005630898952,0.0066533925570553265
2019-02-12,0050.TW,15.25624204968225,15.337231037374757,15.25624204968225,15.316984176635742,24656600,0.0066533925570553265,15.177278327941895,14.920472288131714,0.008546379035530677,-0.0019828127998330336
2019-02-13,0050.TW,15.37772511214246,15.37772511214246,15.266366603151305,15.286613464355469,16630800,-0.0019828127998330336,15.191451454162598,14.958671951293946,0.007161526924710174,-0.003311399163625217
2019-02-14,0050.TW,15.286611303538578,15.337229221762216,15.23599338531494,15.23599338531494,14566168,-0.003311399163625217,15.221821975708007,14.997286367416383,0.00712696629749807,-0.0026575952812503134
2019-02-15,0050.TW,15.246120208115329,15.306860793585042,15.16513121608584,15.195502281188965,14064444,-0.0026575952812503134,15.250168228149414,15.020620346069336,0.006174898352337266,0.007994595584850384
2019-02-18,0050.TW,15.286613113158996,15.3676021008515,15.286613113158996,15.316984176635742,26384652,0.007994595584850384,15.270415496826171,15.051992273330688,0.006248832322518685,-0.0019828127998330336
2019-02-19,0050.TW,15.3271071867638,15.3271071867638,15.286613464355469,15.286613464355469,11448276,-0.0019828127998330336,15.264341354370117,15.074972152709961,0.00606862836298029,0.011258220634672744
2019-02-20,0050.TW,15.367601887067842,15.489084594548386,15.367601887067842,15.45871353149414,137231412,0.011258220634672744,15.298761367797852,15.111466693878175,0.006118951428630071,0.009822922612204188
2019-02-21,0050.TW,15.468833746793022,15.610563278198242,15.468833746793022,15.610563278198242,74659260,0.009822922612204188,15.373675346374512,15.149171161651612,0.006185978394774712,-0.0019451566028231282
2019-02-22,0050.TW,15.580198287963867,15.580198287963867,15.489086631555256,15.580198287963867,39524068,-0.0019451566028231282,15.450614547729492,15.186339330673217,0.006207759151823304,0.007147447068382551
2019-02-25,0050.TW,15.661185866245257,15.742174856124386,15.651063207970676,15.691556930541992,77461416,0.007147447068382551,15.525529098510741,15.22907543182373,0.006263826633649197,0.002580499690344684
2019-02-26,0050.TW,15.721926331138889,15.752297392221749,15.651061551769772,15.732048988342283,63612204,0.002580499690344684,15.614616203308106,15.269908475875855,0.006236806418638687,-0.0006435402375412069
2019-02-27,0050.TW,15.73204743800516,15.73204743800516,15.661182665619515,15.721924781799316,51629956,-0.0006435402375412069,15.66725845336914,15.304834604263306,0.006182741737171532,-0.009014576510346872
