trade_date,etf_code,open_price,high_price,low_price,close_price,volume,daily_return,cumulative_return
2019-01-02,0050.TW,14.89574910969434,14.905568924179342,14.522618633664276,14.542258262634276,34128292,0.0,1.0
2019-01-03,0050.TW,14.493163769758908,14.532440035402056,14.38515179180001,14.404789924621582,53388588,-0.009453025488201705,0.9905469745117983
2019-01-04,0050.TW,14.296778278962652,14.296778278962652,14.139670232616234,14.178946495056152,85169860,-0.015678356348634015,0.975016826065341
2019-01-07,0050.TW,14.444064824378133,14.542256967308528,14.38514893930262,14.52261734008789,58422552,0.024238108603595432,0.9986493897858457
2019-01-08,0050.TW,14.561896259969446,14.561896259969446,14.444065978695049,14.463704109191896,44026800,-0.00405665380532827,0.9945982149385822
2019-01-09,0050.TW,14.522617650575896,14.758279697623124,14.522617650575896,14.728821754455566,45722092,0.018329858192769777,1.0128290591771885
2019-01-10,0050.TW,14.689546585083008,14.709184715886591,14.630630694378912,14.689546585083008,11293132,-0.002666552018030788,1.0101282978055193
2019-01-11,0050.TW,14.787739612837669,14.876111955832172,14.758281665741691,14.82701587677002,41451660,0.009358307343986239,1.019581388873241
2019-01-14,0050.TW,14.817194085665008,14.817194085665008,14.679725681940717,14.728821754455566,21193620,-0.006622649030024741,1.0128290591771885
2019-01-15,0050.TW,14.738643631854902,14.8859318700215,14.738643631854902,14.856473922729492,47345800,0.008666828236638224,1.021607074666153
2019-01-16,0050.TW,14.856471128586508,14.86628944364163,14.797555245083146,14.836833000183104,61370012,-0.0013220446957026288,1.0202564644519982
2019-01-17,0050.TW,14.846651315238228,14.90556719874159,14.758278988276343,14.836833000183104,40082956,0.0,1.0202564644519982
2019-01-18,0050.TW,14.87611089250057,14.944845098615836,14.807376686385306,14.915387153625488,33173964,0.0052945364715917265,1.0256582495134166
2019-01-21,0050.TW,14.993938552165382,15.062672746261038,14.97430042503706,15.023396492004396,41019024,0.00724147065486358,1.0330855236291867
2019-01-22,0050.TW,15.063895336725308,15.063895336725308,14.94241262125505,14.993030548095703,35355724,-0.002021243593274935,1.030997406133246
2019-01-23,0050.TW,14.98290417728519,14.98290417728519,14.912039398907456,14.922162055969238,25629768,-0.004726762337949442,1.026124126423412
2019-01-24,0050.TW,14.972782141570212,15.013277409884656,14.932288417992304,14.993030548095703,14002024,0.004749210728355324,1.0309974061332463
2019-01-25,0050.TW,15.104390031221945,15.205625891410746,15.094267372045046,15.185379028320312,29283112,0.012829192844473924,1.0442242706786822
2019-01-28,0050.TW,15.215748786926271,15.276489370974504,15.19550192557686,15.21574878692627,15300572,0.001999934183356089,1.0463126504927025
2019-01-29,0050.TW,15.084139823913574,15.09426402558253,15.023397703372426,15.084139823913574,17679160,-0.008649522600279624,1.0372625455753075
