Return,Volatility,Sharpe Ratio,etf_0050,etf_006208,etf_0056,etf_00679b,etf_00687b,etf_00631l,Risk Profile
0.19986602477485618,0.1452868083562116,1.3068359538145131,0.2556737793385736,0.3993995852173192,0.004160913512656051,0.040455463978436634,0.2866625590629741,0.01364769889004048,穩健型
0.22815159187621795,0.17041164316177418,1.280144876422109,0.0325460007798288,0.21274045982595485,0.18013408661703145,0.20710559123781846,0.14102288799796148,0.226450973541405,成長型
0.27671085426541187,0.2001333006793364,1.3326660448815029,0.026298741524756572,0.2456727784128481,0.2904114442028163,0.09367891682035324,0.08518203564693835,0.25875608339228756,成長型
0.1814634851103235,0.13146472392974382,1.3042547079165925,0.16995065082247593,0.24737946629164714,0.27364946231815934,0.1381678126315409,0.1613587071710574,0.009493900765119374,穩健型
0.2451596740769871,0.18506298142628128,1.2707007758364768,0.3386794065636097,0.014068215605296846,0.02722163641314413,0.11300037547562258,0.2521801645846004,0.25485020135772635,成長型
0.26677624564674346,0.1935146208663835,1.3269087601605067,0.19017611395271725,0.1444857728783114,0.23035523258235927,0.19538988759561873,0.011523436177752587,0.22806955681324068,成長型
0.21763958832379462,0.1659528538330571,1.2511962495846738,0.038382990533921815,0.2106586315658928,0.12298342801433293,0.3975575567402646,0.0034343166614963696,0.22698307648409152,成長型
0.27193645103146324,0.20247000794715775,1.2937049476474833,0.2434971055406877,0.08138543583069088,0.060644709371259195,0.2779440744945585,0.029269927017596422,0.30725874774520734,成長型
0.19288441895854697,0.14643623928892238,1.2489013638059319,0.18782236474968464,0.27792422275671796,0.034669737093919135,0.36972494139204115,0.035253057728836405,0.09460567627880079,穩健型
0.2991863125819949,0.21585004752342313,1.3397556122873386,0.17516098245951364,0.19629461570575404,0.21733835648284303,0.02511104363643662,0.11411170396742153,0.2719832977480311,成長型
0.19423116469260993,0.1416662432545794,1.3004591669840484,0.22508253196246134,0.2060114297227258,0.2007471280450822,0.12933048504173536,0.18609306413991625,0.05273536108807903,穩健型
0.28542707086332436,0.20836538220051137,1.3218465944514675,0.08754494298746107,0.30476719181677575,0.05655494174090421,0.14370826578448978,0.1106213022022452,0.29680335546812403,成長型
0.1907257330479812,0.14447906670376884,1.2508783256368228,0.020379628479238524,0.18857662501292044,0.3046357895613119,0.353062110345814,0.002516963835225725,0.1308288827654895,穩健型
0.2608801452411959,0.18937872783395351,1.3247535671544197,0.0619256250040073,0.2162373131749953,0.27202315109838965,0.20828460696139076,0.008276823092940018,0.23325248066827692,成長型
